label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_direct_fine03,Step-R direct fine rank 3,"unet:direct:enc0:2,3,12,14","[2, 3, 12, 14]",0,PASS,Completed the full matched RGB-D sequence,159.47691791299985,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3814066470832064,0.30951139214205786,0.2580180612712764,0.803495563064356,0.22287603858095384,14.855373428824826,14.089811935966901,24.268368684853566,0.006162542581319332,0.13315011077146005,0.3359429875165804,8.244808550326875,0.36344291086342856,0.31962244608136486,0.9371300430654915,0.08267847511753071,0.05351908459481897,1.0605376902170371,470,0.081516,0.051419,0.045638,2891,4.985716,22.360705,0,0.902,1.0,31120.0,0.014963,97,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine03/replicate_0.log,2026-08-25T19:05:44.782106+00:00
unet_direct_fine04,Step-R direct fine rank 4,"unet:direct:enc0:2,4,6","[2, 4, 6]",0,PASS,Completed the full matched RGB-D sequence,163.0973551269999,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.5682495028692691,0.4273234832686428,0.22914039810000117,1.069247005659903,0.37456927017352276,16.762333636492432,14.545591075888995,25.61127815935997,0.015135479053522175,0.6180641307777431,0.4750454874019245,17.128667512473527,0.5127050832538564,0.44250365274542175,0.8730985582940856,0.11437038701481415,0.06850460677537083,1.0583447054246837,468,0.115054,0.067607,0.09245,2891,5.89707,42.7679805,0,0.902,1.0,36070.0,0.012565,59,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_fine04/replicate_0.log,2026-08-25T19:08:28.817497+00:00
unet_direct_coarse01,Step-R direct coarse rank 1,"unet:direct:enc1:5,6,17,18,28,30","[5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,191.10285922000003,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.5525219584984331,0.46484275132817465,0.41772852581748143,1.1627281336313418,0.2986665886245014,21.055404617914057,19.848970650746974,30.859172519059054,0.008717144910649174,0.2613125888171354,0.2947761959972926,3.4224479924669917,0.530852239914313,0.4746295790486489,0.9164307301637739,0.10884636732746769,0.0626169832332631,1.0927203527988025,467,0.108812,0.060189,0.080549,2891,18.824013,69.284565,0,0.894,1.0,30400.0,0.02466,172,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse01/replicate_0.log,2026-08-25T19:11:40.838670+00:00
unet_direct_coarse03,Step-R direct coarse rank 3,"unet:direct:enc1:0,5,18,30","[0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,179.87320657300006,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.5087971704560911,0.41969023915082565,0.3389564136839576,1.1247383074694868,0.28763633954291545,19.401011067123346,18.162833258950386,31.13602158446864,0.008041016263574532,0.20906363075108453,0.30117597511095945,3.8333115619764446,0.4911310984147981,0.43023094925046235,0.9271801914698968,0.11093537563797347,0.06725631389413056,1.1086063809810431,470,0.109603,0.063292,0.074508,2891,6.724336,23.7090205,0,0.9,1.0,32290.0,0.017301,187,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_direct_coarse03/replicate_0.log,2026-08-25T19:14:41.629582+00:00
unet_c2f_a_fine01_coarse01,Step-R full-grid C2F-A; F1 × C1,"unet:c2f:A:fine2,3,7,12,13,14:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,186.49427192800067,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3745557790456501,0.30828399178384025,0.27988847326449634,0.7869406761866061,0.21272755351931952,14.813547892739141,14.128699144727483,21.196864597563426,0.005844282372341384,0.13373407829358286,0.28851975813618014,3.166818834804373,0.3596722095777109,0.317433170582013,0.9428615372650438,0.0745684412234029,0.04552334822435881,1.051200046823958,468,0.073267,0.042986,0.047957,2891,7.332331,32.548875499999994,0,0.901,1.0,474200.0,0.036574,128,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-25T19:17:49.052412+00:00
unet_c2f_a_fine01_coarse02,Step-R full-grid C2F-A; F1 × C2,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,181.19602320299964,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.345851044250565,0.279759601797787,0.25626889888930177,0.7255005280841814,0.20334087147238725,13.184379650274511,12.624986013403655,19.068743908503407,0.005212887123396483,0.11774816120471626,0.2800304323882026,2.642011791918303,0.3289213142559346,0.28805327251467494,0.9418490516875293,0.07260736837072883,0.046809839998291254,1.0443573458609692,468,0.071342,0.044374,0.042453,2891,7.352663,31.2325315,0,0.9,1.0,339400.0,0.30975,127,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-25T19:20:51.152035+00:00
unet_c2f_a_fine01_coarse03,Step-R full-grid C2F-A; F1 × C3,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,179.00512661799985,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.36493416992658184,0.294986379559369,0.2525012592145409,0.7727570688099046,0.21484874738862025,13.8340638285059,13.134466716459375,20.512787883841135,0.005689826168220411,0.12507623102092327,0.28816401485490317,3.1492513542530434,0.34946202801984855,0.30401962608923183,0.9426194048609806,0.07585856716695877,0.045986864788115527,1.050085137922825,469,0.074581,0.043372,0.046929,2891,7.314098,31.980262000000003,0,0.9,1.0,404800.0,0.325955,129,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-25T19:23:51.074020+00:00
unet_c2f_a_fine02_coarse01,Step-R full-grid C2F-A; F2 × C1,"unet:c2f:A:fine3,7,12:coarse5,6,17,18,28,30","[3, 7, 12, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,185.21448073400097,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.40120071120374307,0.33845567501821094,0.3051157619802317,0.833996661613937,0.21542926151838437,15.688958028731918,15.176740770636576,21.93775776713945,0.006435182947467596,0.1639096239329494,0.28483485922097984,2.715093787694456,0.38506718354452996,0.34397712838634426,0.9385258729608135,0.07466606447584047,0.043868568330138476,1.04712404308745,469,0.073763,0.041429,0.047623,2891,3.551242,13.997603999999999,0,0.906,1.0,41690.0,0.049643,84,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-25T19:26:57.230143+00:00
unet_c2f_a_fine02_coarse02,Step-R full-grid C2F-A; F2 × C2,"unet:c2f:A:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,180.61847844399927,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.35450945006085915,0.2939427378685757,0.2683939693579635,0.7470092547340292,0.1981782456193881,13.84013469499643,13.373865250174687,19.533933232773354,0.005553484352435124,0.13557163906510353,0.2776330349640767,2.191451633706534,0.3386078950606251,0.2993304173869572,0.9427642766565582,0.06853073676109814,0.040966001860815435,1.0425567460060199,468,0.067412,0.038583,0.04186,2891,3.54115,14.0210115,0,0.906,1.0,45490.0,0.067626,83,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-25T19:29:58.766859+00:00
unet_c2f_a_fine02_coarse03,Step-R full-grid C2F-A; F2 × C3,"unet:c2f:A:fine3,7,12:coarse0,5,18,30","[3, 7, 12, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,178.3886929550008,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34803003811105077,0.2811208513456336,0.24677364571922294,0.7445180109896972,0.2051730351831976,13.169234935206923,12.597537211421532,19.44452003118916,0.0054298950750639235,0.11209794580741805,0.2856560655224812,2.596470846312335,0.33202708035951956,0.28897986057388153,0.943144597517643,0.07166172615546451,0.043998183600303054,1.047570161627175,469,0.070466,0.04153,0.041995,2891,3.529789,13.128635,0,0.902,1.0,53500.0,0.059611,86,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-25T19:32:58.095554+00:00
unet_c2f_a_fine03_coarse01,Step-R full-grid C2F-A; F3 × C1,"unet:c2f:A:fine2,3,12,14:coarse5,6,17,18,28,30","[2, 3, 12, 14, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,186.650011998001,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3861888620436206,0.31942688090739213,0.28845435925868457,0.8091075161319514,0.2170444768251921,15.401525955086925,14.754529365059726,21.65569539880429,0.006077278209225967,0.15055103156148916,0.2870656299745087,3.0238876718234624,0.37116414912263673,0.32783239547345244,0.9416846174093638,0.0761007504196505,0.046467464770081415,1.0507164835360674,468,0.075007,0.043947,0.047788,2891,4.998057,22.696071500000002,0,0.901,1.0,37680.0,0.030065,99,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse01/replicate_0.log,2026-08-25T19:36:05.666173+00:00
unet_c2f_a_fine03_coarse02,Step-R full-grid C2F-A; F3 × C2,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,17,18,30","[2, 3, 12, 14, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,179.80344732199956,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34666712941792954,0.2814723328798409,0.2567106248578367,0.7333354351265918,0.20236458297352222,13.265149560060259,12.726716720622031,19.357866176220593,0.005189319785181627,0.11512414895138433,0.2811731269990568,2.6940107988697366,0.33022007927844765,0.2891753090259467,0.942543714982601,0.07047196332404154,0.04360979164742523,1.0461170976361094,469,0.069191,0.041012,0.041977,2891,4.991852,21.918616,0,0.901,1.0,30660.0,0.09697,99,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse02/replicate_0.log,2026-08-25T19:39:06.378705+00:00
unet_c2f_a_fine03_coarse03,Step-R full-grid C2F-A; F3 × C3,"unet:c2f:A:fine2,3,12,14:coarse0,5,18,30","[2, 3, 12, 14, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,178.14511493600003,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.36265884529098985,0.2947203283775321,0.2536032173053827,0.7659887365456429,0.2113323593509374,13.678191940180191,13.07867113871526,20.067999124852633,0.00545732088997785,0.1207854958993467,0.2850469011457704,2.94945190379882,0.34656160250689344,0.30260670103994275,0.9417571940516897,0.07431234196410415,0.045512636693868236,1.0491475366793106,469,0.072978,0.042864,0.04469,2891,5.000951,23.9887635,0,0.902,1.0,26120.0,0.030056,98,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse03/replicate_0.log,2026-08-25T19:42:05.428930+00:00
unet_c2f_a_fine03_coarse04,Step-R full-grid C2F-A; F3 × C4,"unet:c2f:A:fine2,3,12,14:coarse0,5,6,18,30","[2, 3, 12, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,180.87286745099846,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.4292461465329601,0.38325666937955105,0.35610045529669293,0.8500347180193072,0.19330437059075767,18.118873465422915,17.629786494134702,23.37139258207168,0.007905253762559492,0.22120476163039465,0.29323467617185817,3.0017334156363544,0.4193022096663812,0.38729145074151583,0.949062193964244,0.07503391999456134,0.04330959523560633,1.0429571977754608,469,0.074071,0.040706,0.050913,2891,5.004389,23.486058,0,0.902,1.0,106900.0,0.029188,97,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine03_coarse04/replicate_0.log,2026-08-25T19:45:07.219238+00:00
unet_c2f_a_fine04_coarse01,Step-R full-grid C2F-A; F4 × C1,"unet:c2f:A:fine2,4,6:coarse5,6,17,18,28,30","[2, 4, 6, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,189.30105849699976,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.35599939133396885,0.2893207805421541,0.26236399301879965,0.7320586950705152,0.20743445368750824,13.791159189663988,13.157764601562118,19.249958544325576,0.005597185746777074,0.12622455493893203,0.28921879176531806,2.946012057083828,0.3403645055571645,0.2984285946866447,0.943082888998587,0.07283516385988785,0.04563981083862391,1.047012720848643,470,0.071868,0.043409,0.047262,2891,5.901778,40.4389535,0,0.901,1.0,31050.0,0.055374,54,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse01/replicate_0.log,2026-08-25T19:48:17.450834+00:00
unet_c2f_a_fine04_coarse02,Step-R full-grid C2F-A; F4 × C2,"unet:c2f:A:fine2,4,6:coarse0,5,6,17,18,30","[2, 4, 6, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,185.78836423100074,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3463338601020432,0.28480927835485614,0.26016313890926535,0.7154355009455295,0.19705536687988903,13.148315626248275,12.626903111817803,18.295539106176378,0.005475478593702624,0.14098265816121508,0.280711866676302,2.24703113635353,0.33038397770701294,0.29043162987815063,0.9433749472308938,0.0674958500329671,0.041777153709031845,1.043838558027119,468,0.066784,0.039895,0.04289,2891,5.916206,37.4287055,0,0.901,1.0,31010.0,0.076616,53,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse02/replicate_0.log,2026-08-25T19:51:24.157347+00:00
unet_c2f_a_fine04_coarse03,Step-R full-grid C2F-A; F4 × C3,"unet:c2f:A:fine2,4,6:coarse0,5,18,30","[2, 4, 6, 0, 5, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,184.27055672499955,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34812043086375655,0.28285812150346407,0.23487709796406475,0.7271344814737358,0.20292638439665525,13.268433951077133,12.672428467998312,18.738296836816257,0.005592994385763845,0.13201086934840206,0.2879755161792534,2.759795027819266,0.33391557210839146,0.290308690306883,0.9461724925910215,0.07150528794542085,0.044956996457809505,1.0486356203487097,468,0.07037,0.042563,0.044009,2891,5.906358,40.4005275,0,0.901,1.0,31100.0,0.031285,56,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse03/replicate_0.log,2026-08-25T19:54:29.346338+00:00
unet_c2f_a_fine04_coarse04,Step-R full-grid C2F-A; F4 × C4,"unet:c2f:A:fine2,4,6:coarse0,5,6,18,30","[2, 4, 6, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,185.88163139399876,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.35380458215319827,0.292612548711689,0.26948913282533143,0.7336907500549862,0.19888584336007584,13.684481496736542,13.125425066824269,18.939948002105123,0.005826212835159462,0.15430580091869125,0.2836888102974469,2.546564373581889,0.3388321076483777,0.29910738914555796,0.944383961987975,0.0675073747489157,0.041071070386447646,1.0425572179102067,468,0.066808,0.039172,0.045449,2891,5.901716,39.866239500000006,0,0.902,1.0,31050.0,0.111682,54,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine04_coarse04/replicate_0.log,2026-08-25T19:57:36.140396+00:00
unet_c2f_a_fine05_coarse01,Step-R full-grid C2F-A; F5 × C1,"unet:c2f:A:fine2,3,7,12,13:coarse5,6,17,18,28,30","[2, 3, 7, 12, 13, 5, 6, 17, 18, 28, 30]",0,PASS,Completed the full matched RGB-D sequence,187.03881344100046,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34179404693268345,0.2774919830006928,0.24764287813876915,0.7159868131989289,0.19955292503234487,13.482344618048941,12.893036083182999,19.627474129036383,0.005484366089144178,0.11495108899734714,0.28801313896783604,2.7238598665914524,0.32647007162066516,0.2864320911350382,0.9447860608898729,0.06964410725070062,0.04368886311948693,1.0456146518677192,470,0.068407,0.04134,0.041733,2891,6.367459,25.534768999999997,0,0.901,1.0,94530.0,0.06052,122,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse01/replicate_0.log,2026-08-25T20:00:44.087987+00:00
unet_c2f_a_fine05_coarse02,Step-R full-grid C2F-A; F5 × C2,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,17,18,30","[2, 3, 7, 12, 13, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,180.75845581299836,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.32290286192262996,0.2599736367994953,0.23814748727672844,0.6813411195908201,0.1915201462172299,12.301052238945063,11.77445025205697,18.11792652980502,0.00499116399131643,0.10609256858403868,0.28074409437294257,2.403742814630395,0.3058798474935525,0.2672464165119543,0.9437356319648018,0.06630768867899563,0.04197855631809174,1.0425722196171818,469,0.064832,0.039565,0.038732,2891,6.385018,25.487804500000003,0,0.906,1.0,80100.0,0.020373,109,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_r_c2f_grid_completion/unet/per_dataset/fr2_desk_lightswitch/artifacts/unet_c2f_a_fine05_coarse02/replicate_0.log,2026-08-25T20:03:45.758498+00:00
